origem,destino,tipo_conexao,justificativa,peso
Breads,Cheeses,cafe_da_manha,pão com laticínio,257.6
Breads,Yogurts,cafe_da_manha,pão com laticínio,164.4
Breads,Greek-style yogurts,cafe_da_manha,pão com laticínio,181.2
Breads,Plain yogurts,cafe_da_manha,pão com laticínio,158.2
Breads,Low-fat yogurts,cafe_da_manha,pão com laticínio,147.7
Breads,Milks,cafe_da_manha,pão com laticínio,183.2
Breads,UHT Milks,cafe_da_manha,pão com laticínio,156.1
Breads,Grated cheese,cafe_da_manha,pão com laticínio,328.2
Breads,Cow cheeses,cafe_da_manha,pão com laticínio,266.6
Breads,Ricotta,cafe_da_manha,pão com laticínio,196.6
Breads,Condensed milks,cafe_da_manha,pão com laticínio,270.6
Breads,Milk jams,cafe_da_manha,pão com laticínio,271.0
Breads,Dairies,cafe_da_manha,pão com laticínio,220.4
Breads,Dairy drinks,cafe_da_manha,pão com laticínio,155.2
Sliced breads,Cheeses,cafe_da_manha,pão com laticínio,250.6
Sliced breads,Yogurts,cafe_da_manha,pão com laticínio,157.3
Sliced breads,Greek-style yogurts,cafe_da_manha,pão com laticínio,174.1
Sliced breads,Plain yogurts,cafe_da_manha,pão com laticínio,151.2
Sliced breads,Low-fat yogurts,cafe_da_manha,pão com laticínio,140.7
Sliced breads,Milks,cafe_da_manha,pão com laticínio,176.2
Sliced breads,UHT Milks,cafe_da_manha,pão com laticínio,149.1
Sliced breads,Grated cheese,cafe_da_manha,pão com laticínio,321.1
Sliced breads,Cow cheeses,cafe_da_manha,pão com laticínio,259.5
Sliced breads,Ricotta,cafe_da_manha,pão com laticínio,189.5
Sliced breads,Condensed milks,cafe_da_manha,pão com laticínio,263.5
Sliced breads,Milk jams,cafe_da_manha,pão com laticínio,263.9
Sliced breads,Dairies,cafe_da_manha,pão com laticínio,213.4
Sliced breads,Dairy drinks,cafe_da_manha,pão com laticínio,148.2
Wholemeal breads,Cheeses,cafe_da_manha,pão com laticínio,232.2
Wholemeal breads,Yogurts,cafe_da_manha,pão com laticínio,138.9
Wholemeal breads,Greek-style yogurts,cafe_da_manha,pão com laticínio,155.7
Wholemeal breads,Plain yogurts,cafe_da_manha,pão com laticínio,132.8
Wholemeal breads,Low-fat yogurts,cafe_da_manha,pão com laticínio,122.2
Wholemeal breads,Milks,cafe_da_manha,pão com laticínio,157.8
Wholemeal breads,UHT Milks,cafe_da_manha,pão com laticínio,130.6
Wholemeal breads,Grated cheese,cafe_da_manha,pão com laticínio,302.7
Wholemeal breads,Cow cheeses,cafe_da_manha,pão com laticínio,241.1
Wholemeal breads,Ricotta,cafe_da_manha,pão com laticínio,171.1
Wholemeal breads,Condensed milks,cafe_da_manha,pão com laticínio,245.1
Wholemeal breads,Milk jams,cafe_da_manha,pão com laticínio,245.5
Wholemeal breads,Dairies,cafe_da_manha,pão com laticínio,194.9
Wholemeal breads,Dairy drinks,cafe_da_manha,pão com laticínio,129.8
Panettone,Cheeses,cafe_da_manha,pão com laticínio,315.3
Panettone,Yogurts,cafe_da_manha,pão com laticínio,222.1
Panettone,Greek-style yogurts,cafe_da_manha,pão com laticínio,238.8
Panettone,Plain yogurts,cafe_da_manha,pão com laticínio,215.9
Panettone,Low-fat yogurts,cafe_da_manha,pão com laticínio,205.3
Panettone,Milks,cafe_da_manha,pão com laticínio,240.9
Panettone,UHT Milks,cafe_da_manha,pão com laticínio,213.8
Panettone,Grated cheese,cafe_da_manha,pão com laticínio,385.9
Panettone,Cow cheeses,cafe_da_manha,pão com laticínio,324.2
Panettone,Ricotta,cafe_da_manha,pão com laticínio,254.2
Panettone,Condensed milks,cafe_da_manha,pão com laticínio,328.2
Panettone,Milk jams,cafe_da_manha,pão com laticínio,328.6
Panettone,Dairies,cafe_da_manha,pão com laticínio,278.1
Panettone,Dairy drinks,cafe_da_manha,pão com laticínio,212.9
Sandwiches,Cheeses,cafe_da_manha,pão com laticínio,250.9
Sandwiches,Yogurts,cafe_da_manha,pão com laticínio,157.7
Sandwiches,Greek-style yogurts,cafe_da_manha,pão com laticínio,174.4
Sandwiches,Plain yogurts,cafe_da_manha,pão com laticínio,151.6
Sandwiches,Low-fat yogurts,cafe_da_manha,pão com laticínio,141.0
Sandwiches,Milks,cafe_da_manha,pão com laticínio,176.6
Sandwiches,UHT Milks,cafe_da_manha,pão com laticínio,149.4
Sandwiches,Grated cheese,cafe_da_manha,pão com laticínio,321.5
Sandwiches,Cow cheeses,cafe_da_manha,pão com laticínio,259.9
Sandwiches,Ricotta,cafe_da_manha,pão com laticínio,189.8
Sandwiches,Condensed milks,cafe_da_manha,pão com laticínio,263.9
Sandwiches,Milk jams,cafe_da_manha,pão com laticínio,264.3
Sandwiches,Dairies,cafe_da_manha,pão com laticínio,213.7
Sandwiches,Dairy drinks,cafe_da_manha,pão com laticínio,148.6
Tapioca,Cheeses,cafe_da_manha,pão com laticínio,252.9
Tapioca,Yogurts,cafe_da_manha,pão com laticínio,159.7
Tapioca,Greek-style yogurts,cafe_da_manha,pão com laticínio,176.4
Tapioca,Plain yogurts,cafe_da_manha,pão com laticínio,153.6
Tapioca,Low-fat yogurts,cafe_da_manha,pão com laticínio,143.0
Tapioca,Milks,cafe_da_manha,pão com laticínio,178.6
Tapioca,UHT Milks,cafe_da_manha,pão com laticínio,151.4
Tapioca,Grated cheese,cafe_da_manha,pão com laticínio,323.5
Tapioca,Cow cheeses,cafe_da_manha,pão com laticínio,261.9
Tapioca,Ricotta,cafe_da_manha,pão com laticínio,191.8
Tapioca,Condensed milks,cafe_da_manha,pão com laticínio,265.9
Tapioca,Milk jams,cafe_da_manha,pão com laticínio,266.3
Tapioca,Dairies,cafe_da_manha,pão com laticínio,215.7
Tapioca,Dairy drinks,cafe_da_manha,pão com laticínio,150.6
Crackers (Appetizers),Cheeses,cafe_da_manha,pão com laticínio,339.8
Crackers (Appetizers),Yogurts,cafe_da_manha,pão com laticínio,246.5
Crackers (Appetizers),Greek-style yogurts,cafe_da_manha,pão com laticínio,263.2
Crackers (Appetizers),Plain yogurts,cafe_da_manha,pão com laticínio,240.3
Crackers (Appetizers),Low-fat yogurts,cafe_da_manha,pão com laticínio,229.8
Crackers (Appetizers),Milks,cafe_da_manha,pão com laticínio,265.4
Crackers (Appetizers),UHT Milks,cafe_da_manha,pão com laticínio,238.2
Crackers (Appetizers),Grated cheese,cafe_da_manha,pão com laticínio,410.3
Crackers (Appetizers),Cow cheeses,cafe_da_manha,pão com laticínio,348.6
Crackers (Appetizers),Ricotta,cafe_da_manha,pão com laticínio,278.6
Crackers (Appetizers),Condensed milks,cafe_da_manha,pão com laticínio,352.6
Crackers (Appetizers),Milk jams,cafe_da_manha,pão com laticínio,353.1
Crackers (Appetizers),Dairies,cafe_da_manha,pão com laticínio,302.5
Crackers (Appetizers),Dairy drinks,cafe_da_manha,pão com laticínio,237.3
Galletas,Cheeses,cafe_da_manha,pão com laticínio,338.7
Galletas,Yogurts,cafe_da_manha,pão com laticínio,245.5
Galletas,Greek-style yogurts,cafe_da_manha,pão com laticínio,262.2
Galletas,Plain yogurts,cafe_da_manha,pão com laticínio,239.3
Galletas,Low-fat yogurts,cafe_da_manha,pão com laticínio,228.8
Galletas,Milks,cafe_da_manha,pão com laticínio,264.3
Galletas,UHT Milks,cafe_da_manha,pão com laticínio,237.2
Galletas,Grated cheese,cafe_da_manha,pão com laticínio,409.2
Galletas,Cow cheeses,cafe_da_manha,pão com laticínio,347.6
Galletas,Ricotta,cafe_da_manha,pão com laticínio,277.6
Galletas,Condensed milks,cafe_da_manha,pão com laticínio,351.6
Galletas,Milk jams,cafe_da_manha,pão com laticínio,352.1
Galletas,Dairies,cafe_da_manha,pão com laticínio,301.5
Galletas,Dairy drinks,cafe_da_manha,pão com laticínio,236.3
Cakes,Cheeses,cafe_da_manha,pão com laticínio,300.3
Cakes,Yogurts,cafe_da_manha,pão com laticínio,207.1
Cakes,Greek-style yogurts,cafe_da_manha,pão com laticínio,223.8
Cakes,Plain yogurts,cafe_da_manha,pão com laticínio,200.9
Cakes,Low-fat yogurts,cafe_da_manha,pão com laticínio,190.3
Cakes,Milks,cafe_da_manha,pão com laticínio,225.9
Cakes,UHT Milks,cafe_da_manha,pão com laticínio,198.8
Cakes,Grated cheese,cafe_da_manha,pão com laticínio,370.9
Cakes,Cow cheeses,cafe_da_manha,pão com laticínio,309.2
Cakes,Ricotta,cafe_da_manha,pão com laticínio,239.2
Cakes,Condensed milks,cafe_da_manha,pão com laticínio,313.2
Cakes,Milk jams,cafe_da_manha,pão com laticínio,313.6
Cakes,Dairies,cafe_da_manha,pão com laticínio,263.1
Cakes,Dairy drinks,cafe_da_manha,pão com laticínio,197.9
Mueslis,Cheeses,cafe_da_manha,pão com laticínio,313.1
Mueslis,Yogurts,cafe_da_manha,pão com laticínio,219.8
Mueslis,Greek-style yogurts,cafe_da_manha,pão com laticínio,236.6
