categoria,familia,media_kcal
Alfajores,sweet_snacks,361.5
Barras-de-proteina,proteins_supp,344.8
Barras-de-proteinas,proteins_supp,355.2
Bars,proteins_supp,273.3
Beers,beverages,61.6
Beverages,beverages,125.1
Biscuits,sweet_snacks,382.2
Breads,breads,249.5
Breakfast cereals,cereals,340.6
Butters,spreads,690.4
Cakes,breads,334.8
Candies,sweet_snacks,379.5
Candy chocolate bars,sweet_snacks,497.1
Canned sardines,proteins_animal,172.6
Cereals and potatoes,cereals,404.3
Cereals and their products,cereals,335.6
Cheeses,dairy,265.8
Chicken eggs,proteins_animal,142.4
Chocolate biscuits,sweet_snacks,419.9
Chocolate-powders,spreads,237.9
Chocolates,sweet_snacks,428.7
Cocoa and chocolate powders,spreads,327.3
Coconut waters,beverages,24.1
Coffees,beverages,153.0
Condensed milks,dairy,291.6
Confectioneries,sweet_snacks,377.2
Corn chips,savory_snacks,450.5
Cow cheeses,dairy,283.6
Crackers (Appetizers),breads,413.7
Crisps,savory_snacks,422.0
Dairies,dairy,191.3
Dairy drinks,dairy,61.0
Dark chocolates,sweet_snacks,472.2
Dietary supplements,proteins_supp,281.1
Dulces,sweet_snacks,429.1
Energy drinks,beverages,70.3
Extra-virgin olive oils,condiments,745.6
Filled biscuits,sweet_snacks,423.0
Frozen foods,proteins_animal,165.0
Frozen meats,proteins_animal,146.1
Fruit juices,beverages,50.4
Fruit nectars,beverages,47.8
Galletas,breads,411.6
Grape nectars,beverages,57.2
Grated cheese,dairy,406.9
Greek-style yogurts,dairy,112.8
Hams,proteins_animal,132.2
Herbal teas,beverages,3.5
Honeys,spreads,290.0
Ice creams,sweet_snacks,245.6
Ice creams and sorbets,sweet_snacks,215.3
Instant noodles,cereals,357.9
Jams,spreads,203.2
Juices and nectars,beverages,68.1
Ketchup,condiments,85.6
Low-fat yogurts,dairy,45.9
Margarines,spreads,531.7
Mayonnaises,condiments,319.3
Meals with chicken,proteins_animal,152.2
Milk chocolates,sweet_snacks,434.6
Milk jams,dairy,292.5
Milk powders,spreads,429.2
Milks,dairy,117.0
Mueslis,breads,360.3
Mustards,condiments,70.9
Oat brans,cereals,290.6
Orange juices,beverages,59.0
Panettone,breads,364.8
Pastas,cereals,275.6
Peanut bars,sweet_snacks,397.1
Peanut butters,spreads,484.4
Peanuts,savory_snacks,532.0
Pescados,proteins_animal,145.5
Plain yogurts,dairy,67.0
Popcorn,savory_snacks,350.5
Postres,sweet_snacks,140.6
Potato crisps,savory_snacks,468.6
Protein bars,proteins_supp,346.9
Protein powders,proteins_supp,294.8
Rices,cereals,265.7
Ricotta,dairy,143.6
Rolled oats,cereals,323.0
Sandwiches,breads,236.1
Sauces,condiments,82.4
Sausages,proteins_animal,243.5
Sliced breads,breads,235.4
Snacks,savory_snacks,350.1
Sodas,beverages,55.7
Stuffed wafers,sweet_snacks,429.4
Suplementos,proteins_supp,383.6
Suplementos-alimenticios,proteins_supp,258.2
Supplement,proteins_supp,354.4
Sweet spreads,spreads,213.7
Sweetened beverages,beverages,77.5
Tapioca,breads,240.1
Teas,beverages,9.1
Tomato sauces,condiments,33.0
UHT Milks,dairy,62.7
Unsalted butters,spreads,529.3
Virgin olive oils,condiments,760.7
Wafers,sweet_snacks,451.4
Wheat flours,cereals,336.0
Wholemeal breads,breads,198.5
Yogurts,dairy,79.3
