aeroporto, grau, ordem_ego, tamanho_ego, densidade_ego
REC, 19, 20, 19, 0.1000
SSA, 18, 19, 18, 0.1053
FOR, 12, 13, 12, 0.1538
NAT, 9, 10, 9, 0.2000
JPA, 8, 9, 8, 0.2222
GRU, 26, 27, 26, 0.0741
CGH, 19, 20, 19, 0.1000
GIG, 21, 22, 21, 0.0909
CNF, 25, 26, 25, 0.0769
VIX, 7, 8, 7, 0.2500
BSB, 27, 28, 27, 0.0714
GYN, 10, 11, 10, 0.1818
CWB, 8, 9, 8, 0.2222
FLN, 7, 8, 7, 0.2500
POA, 10, 11, 10, 0.1818
MAO, 10, 11, 10, 0.1818
BEL, 9, 10, 9, 0.2000
PVH, 5, 6, 5, 0.3333
RBR, 4, 5, 4, 0.4000
THE, 8, 9, 8, 0.2222
MCZ, 12, 13, 12, 0.1538
SLZ, 9, 10, 9, 0.2000
AJU, 7, 8, 7, 0.2500
CGB, 8, 9, 8, 0.2222
CGR, 4, 5, 4, 0.4000
MCP, 3, 4, 3, 0.5000
BVB, 3, 4, 3, 0.5000
PMW, 4, 5, 4, 0.4000
